date,state,fips,cases,deaths
4/7/2020,LORETO,16,4,0
4/7/2020,PIURA,20,11,0
4/7/2020,SAN MARTIN,22,3,0
4/7/2020,TACNA,23,1,0
4/7/2020,TUMBES,24,4,0
4/7/2020,UCAYALI,25,1,0
4/8/2020,AMAZONAS,01,5,0
4/8/2020,ANCASH,02,10,0
4/8/2020,AREQUIPA,04,5,0
4/8/2020,AYACUCHO,05,3,0
4/8/2020,CAJAMARCA,06,3,0
4/8/2020,CALLAO,07,127,0
4/8/2020,CUSCO,08,3,0
4/8/2020,HUANUCO,10,5,0
4/8/2020,ICA,11,9,0
4/8/2020,JUNIN,12,2,0
4/8/2020,LA LIBERTAD,13,22,0
4/8/2020,LAMBAYEQUE,14,75,0
4/8/2020,LIMA,15,688,0
4/8/2020,LORETO,15,68,0
4/8/2020,MADRE DE DIOS,17,2,0
4/8/2020,MOQUEGUA,18,1,0
4/8/2020,PIURA,20,21,0
4/8/2020,SAN MARTIN,22,4,0
4/8/2020,TUMBES,24,22,0
4/9/2020,AMAZONAS,01,5,0
4/9/2020,ANCASH,02,13,0
4/9/2020,APURIMAC,03,3,0
4/9/2020,AREQUIPA,04,6,0
4/9/2020,AYACUCHO,05,2,0
4/9/2020,CAJAMARCA,06,6,0
4/9/2020,CALLAO,07,48,0
4/9/2020,CUSCO,08,2,0
4/9/2020,HUANUCO,10,7,0
4/9/2020,ICA,11,5,0
4/9/2020,JUNIN,12,14,0
4/9/2020,LA LIBERTAD,13,7,0
4/9/2020,LAMBAYEQUE,14,19,0
4/9/2020,LIMA,15,623,0
4/9/2020,LORETO,15,5,0
4/9/2020,MADRE DE DIOS,17,1,0
4/9/2020,PASCO,19,5,0
4/9/2020,PIURA,20,40,0
4/9/2020,PUNO,21,1,0
4/9/2020,SAN MARTIN,22,5,0
4/9/2020,TUMBES,24,1,0
4/10/2020,ANCASH,02,16,0
4/10/2020,AREQUIPA,04,2,0
4/10/2020,AYACUCHO,05,2,0
